SNR,AWGN,R1,R2
5.011872336272722439e-01,2.392287107676719371e-01,2.110966530927350648e-01,1.609548189923169503e-01
5.327587757264923285e-01,2.255943729113784046e-01,2.052197351002960080e-01,1.575211402631982449e-01
5.663191200210694332e-01,2.115958758373622239e-01,1.993504958695279106e-01,1.538204272107867587e-01
6.019935481383572595e-01,1.972881896337511654e-01,1.934964271509415634e-01,1.498504192627624909e-01
6.399152336349265280e-01,1.827388384682187561e-01,1.876650898219842101e-01,1.456126170900384764e-01
6.802257391368726758e-01,1.680287035937474416e-01,1.818640717843498789e-01,1.411127667949634290e-01
7.230755447967354144e-01,1.532524681407496092e-01,1.761009443831870747e-01,1.363612544315368491e-01
7.686246100397738923e-01,1.385185489441812523e-01,1.703832178781681250e-01,1.313733733260323278e-01
8.170429706966101380e-01,1.239483403291690711e-01,1.647182965339077931e-01,1.261694287975982931e-01
8.685113737513526777e-01,1.096745849692112307e-01,1.591134339226891181e-01,1.207746507772946565e-01
9.232219520747312336e-01,9.583869526974297948e-02,1.535756890445748035e-01,1.152188946223151045e-01
9.813789416610385619e-01,8.258688443674444546e-02,1.481118838679099659e-01,1.095361237291446743e-01
1.043199444046344349e+00,7.006503926893585532e-02,1.427285628766039038e-01,1.037636833929626023e-01
1.108914236754104721e+00,5.841238513118451881e-02,1.374319551796123196e-01,9.794139222819275847e-02
1.178768634793587289e+00,4.775416117605070510e-02,1.322279396934636919e-01,9.211049346177829777e-02
1.253023406427101749e+00,3.819373508880221507e-02,1.271220138517298870e-01,8.631252152463941840e-02
1.331955746624621018e+00,2.980482143015587490e-02,1.221192662277668095e-01,8.058814780141537737e-02
1.415860311839725494e+00,2.262468727548671080e-02,1.172243533809451121e-01,7.497607190548694067e-02
1.505050319969713835e+00,1.664937488611624092e-02,1.124414811543742454e-01,6.951202097901132415e-02
1.599858719606058299e+00,1.183197159861445504e-02,1.077743905663647861e-01,6.422790974053882440e-02
1.700639432940050932e+00,8.084742733858403529e-03,1.032263483512388391e-01,5.915119961947246097e-02
1.807768676963434462e+00,5.285475097174083432e-03,9.880014212016141606e-02,5.430447823197021018e-02
1.921646367896096441e+00,3.287681685152904661e-03,9.449808003185772298e-02,4.970526282395421047e-02
2.042697614083592850e+00,1.933509144174287448e-03,9.032199478855373886e-02,4.536601516850174987e-02
2.171374302937518763e+00,1.067477011443111919e-03,8.627325170604061011e-02,4.129434235469936487e-02
2.308156787842828628e+00,5.488166369006814305e-04,8.235276054983109439e-02,3.749334891025080108e-02
2.453555681329358862e+00,2.603728816709160510e-04,7.856099078293232729e-02,3.396210104920249773e-02
2.608113761201517722e+00,1.128211072020915331e-04,7.489798983534023957e-02,3.069616322014317999e-02
2.772407996741774738e+00,4.413195882059675970e-05,7.136340398109786154e-02,2.768816981096489105e-02
2.947051702551811481e+00,1.538034500396855150e-05,6.795650139537889878e-02,2.492839987841038996e-02
3.132696828071684259e+00,4.705053202694010863e-06,6.467619696095461279e-02,2.240532911051679177e-02
3.330036391323831779e+00,1.242341228816963066e-06,6.152107839969300773e-02,2.010614000001698098e-02
3.539807065967158550e+00,2.778015199937691934e-07,5.848943331932354717e-02,1.801717770182775791e-02
3.762791931318719030e+00,5.148829420661029345e-08,5.557927678733803889e-02,1.612434478792779124e-02
3.999823395608935073e+00,7.719849694697071528e-09,5.278837907126232576e-02,1.441343283289436839e-02
4.251786303382890431e+00,9.109769629046908304e-10,5.011429321628685374e-02,1.287039237607218167e-02
4.519621238647761885e+00,8.202058266184764670e-11,4.755438216607299484e-02,1.148154535506279439e-02
4.804328036097067489e+00,5.440253577677609908e-12,4.510584516923388243e-02,1.023374571563717694e-02
5.106969513519262982e+00,2.554921348761733801e-13,4.276574325138898791e-02,9.114494742270495831e-03
5.428675439323861873e+00,8.123423686396027323e-15,4.053102356983967480e-02,8.112017898515955228e-03
5.770646749995906433e+00,1.662316736869296690e-16,3.839854250395757784e-02,7.215309784071755050e-03
6.134160033222739727e+00,2.067528688105821036e-18,3.636508736863913738e-02,6.414153349993012565e-03
6.520572293428614330e+00,1.465112439649031911e-20,3.442739667012773008e-02,5.699118882044551526e-03
6.931326017507088544e+00,5.498438014758473095e-23,3.258217885274672376e-02,5.061547554081113898e-03
7.367954559661629155e+00,1.006232695595358282e-25,3.082612951137664314e-02,4.493523632903728693e-03
7.832087865456273335e+00,8.179531093320739735e-29,2.915594706770396893e-02,3.987838726520698263e-03
8.325458556444258917e+00,2.657922014067681711e-32,2.756834692834692069e-02,3.537950835627468038e-03
8.849908398088803807e+00,3.064793781973109964e-36,2.606007415996663967e-02,3.137940407314243618e-03
9.407395175120905506e+00,1.096079146505063257e-40,2.462791473053327351e-02,2.782465105395592886e-03
1.000000000000000000e+01,1.044243791881272283e-45,2.326870537720382437e-02,2.466714602188502248e-03
